state,year,Diabetes,Age - 25 to 34 years,Age - 35 to 44 years,Age - 45 to 54 years,Age - 55 to 64 years,Age - 65 years or more,Education - Bachelor degree or higher,Education - High school graduate,Education - Some college or associate degree,Employment status - Unemployed,Gender - Male,Household income - 15000 to 24999,Household income - 25000 to 34999,Household income - 35000 to 49999,Household income - 50000 or more,Marital status - Divorced,Marital status - Never married,Marital status - Separated,Marital status - Widowed,Race - American Indian and Alaska native,Race - Asian,Race - Black or African American,Race - Native Hawaiian and other Pacific Islander,Race - Some other race,Race - Two or more races
AL,2007,10.3,12.7,13.7,14.4,11.4,13.5,19.49411541,32.20443203,28.46648048,6.7,48.36575335,13.6,11.9,14.9,41.3,11.8,27.1,2.4,7.5,0.447075759,0.962887526,26.19181127,0.032801402,0.749570373,1.300128288
AK,2007,6.1,13.9,14.2,16.1,10.7,6.9,22.72935809,32.07580933,34.60461861,8.8,52.2738113,7.9,8,12.6,62.6,11.5,32.5,2,3.3,13.46905094,4.818882246,3.777883121,0.728333611,2.272348196,6.864888116
AZ,2007,8.4,14.5,13.6,12.9,10.3,12.9,22.91435885,27.62482274,32.11213316,5.8,50.06175503,11,11.8,15.5,49.8,12.4,30.6,1.9,5.9,4.434561677,2.388702513,3.549450957,0.121490734,10.68329664,2.435415156
AR,2007,9.2,12.9,13.4,14,11.3,14,17.70737588,35.75090599,27.73990616,7.2,48.93595556,14.3,13,16.1,37.7,11.8,24.6,2.4,7.6,0.614682462,1.197016929,15.60178736,0.080217384,2.252577521,1.702837981
CA,2007,7.6,14.3,14.9,14,9.7,10.9,26.47715009,24.52667215,29.43631069,6.6,50.01406306,9.7,9.3,13,57.5,9.5,34.6,2.5,5.3,0.72784569,12.34202518,6.191966972,0.345646751,16.67959166,3.453556684
CO,2007,5.3,14.9,14.9,15.2,10.7,10.1,31.72578182,25.83911684,30.851326,5.5,50.41860408,9.6,9.8,14.6,54.7,12.3,29.4,1.7,4.6,0.94974509,2.709011491,3.892140619,0.076190241,6.228655059,2.609412909
CT,2007,7.3,11.5,15.1,15.8,11.4,13.5,31.96161891,29.80158382,26.31616374,6,48.71500487,8.4,8,12.3,62.1,9.6,31.5,1.5,6.6,0.234445333,3.375373218,9.376699771,0.02555457,5.407261324,2.02169483
DE,2007,8.7,12.2,14.4,14.6,11.5,13.5,23.81216251,33.46803326,29.29256355,5.6,48.41309305,9.5,10.2,14.6,54.9,10.3,30.8,1.6,7,0.257064355,2.933979675,20.31560056,0.061519675,2.153535531,1.963310221
FL,2007,8.7,12.3,14.1,14.1,11.6,17,23.72428598,31.84215066,28.78612229,6.2,49.11969557,11.9,11.8,15.7,48.1,12.3,28.1,2.3,7.5,0.29574972,2.241732248,15.34347003,0.054911329,4.054792323,1.732890193
GA,2007,10.1,14,15.5,14.1,10.3,9.9,24.45281689,31.03749911,26.77812255,7,49.22342649,10.9,11,15.3,49.2,11.4,31.4,2.4,5.9,0.23416014,2.77836507,29.91371173,0.050540873,3.768762933,1.242567904
HI,2007,7.7,13.7,14,14.3,11.7,14.4,26.57950218,31.41452473,31.40532847,4.5,50.29523418,7.4,8.2,12.8,62.3,9.3,31.3,1.6,6.6,0.261729111,38.84000785,2.16894657,8.460652585,1.327268137,22.31040028
ID,2007,7.9,14,13,13.8,10.7,11.7,21.90821988,30.65952656,35.05940197,5.1,50.18667442,11.9,13.2,17.1,46.2,11.4,23.9,1.2,5.2,1.290314405,1.121113617,0.600972921,0.143323805,2.205612638,2.178668563
IL,2007,8.8,13.8,14.4,14.5,10.3,12,26.95042358,29.44993949,29.02466719,7.2,49.27037036,10.4,9.9,13.9,54,9.5,32.7,1.8,6.2,0.16887702,4.293584432,14.65910884,0.047259112,8.813684259,1.5483778
IN,2007,8.5,13.2,14.1,14.7,10.8,12.5,20.18943517,36.5404371,28.38816046,6.6,49.25421049,11.3,12.2,16.1,47.6,12.1,27.5,1.5,6.2,0.211337892,1.311208993,8.686995974,0.015271172,2.408006948,1.683169986
IA,2007,6.8,12.3,13.1,14.9,11.2,14.7,22.18420445,34.63188766,32.61150432,4.8,49.33520122,12.3,12,15.5,47.6,9.8,26.9,1.3,6.7,0.304914883,1.601346967,2.343269701,0.046686013,1.754825142,1.377421439
KS,2007,7.3,12.9,13.4,14.6,10.7,12.9,25.92292988,30.08880888,32.4767101,5.1,49.47562984,12.3,12,16.2,47.7,11.1,26.3,1.4,6.4,0.850685357,2.15951242,5.737326085,0.037319925,3.046869287,2.619779488
KY,2007,9.9,13.6,14.4,14.7,11.6,12.9,18.34790415,35.31433577,26.6478998,6.6,48.93067834,13.6,12.1,15.4,40.7,12.5,26.5,2.2,7.3,0.164423971,0.937150623,7.595213362,0.042744574,0.804154405,1.304263565
LA,2007,10.2,12.9,13.5,14.4,10.8,12.2,18.25700998,35.53854185,25.89895597,6.4,48.64220289,13.2,11.6,14.6,41.7,11,32.2,2.6,7.2,0.505054034,1.393481419,31.62889534,0.041996607,0.950595406,1.279044741
ME,2007,7.8,11.1,14.3,16.7,13.2,14.8,24.65508264,36.1221811,28.12264373,6,48.74328788,12.7,11.7,15.8,46.1,12.4,25.8,1.4,6.6,0.573713927,0.965527818,1.112353639,0.022471791,0.291374097,1.798198765
MD,2007,8.4,12.6,15.1,15.4,11.1,11.8,32.2632591,28.09250659,26.73904717,5.5,48.34139739,7.4,7.9,12,64.2,9.4,33.3,2.7,6.1,0.232061262,4.894716308,28.94121471,0.053752494,3.256600165,2.052918084
MA,2007,7.4,12.7,15.2,15.4,11.3,13.3,35.03198618,28.2134074,24.97374068,6.1,48.48946976,8.6,8.3,11.7,59.5,9.1,35,1.8,6.3,0.175929163,4.816524039,5.963249767,0.030481778,4.497132062,1.871357904
MI,2007,8.8,12.4,14.2,15.3,11.4,12.7,22.55198795,32.34885686,32.24343947,9.6,49.23272075,11.5,11.5,15,48.2,11.1,31.2,1.5,6.4,0.51855563,2.385010378,14.06532999,0.023511138,1.665656919,1.895803957
MN,2007,5.7,13,14.3,15.6,10.9,12.2,28.32561213,28.70335799,33.40256096,5.4,49.8302204,9.4,9.8,14.8,55.5,9.5,30.1,1.2,5.5,0.995917171,3.47659054,4.344256728,0.026858442,1.375975663,1.846210026
MS,2007,11.1,12.6,13.4,13.8,10.8,12.4,16.91931552,32.14758556,29.21464107,9.3,48.43227576,14.7,12.7,14.9,36.7,10.7,31.3,2.9,7.7,0.376320969,0.692308615,37.51735739,0.060881497,0.656060655,0.907466634
MO,2007,8,12.9,13.8,14.9,11.2,13.4,22.45619657,33.67664263,29.14781651,6.3,48.74364944,12.3,11.9,15.7,45.3,11.7,27.9,2.1,6.6,0.382994396,1.388486522,11.29593606,0.130460337,1.040263404,1.887090313
MT,2007,6.6,12.2,12.5,15.9,12.6,13.7,24.17131267,33.32647741,31.97746235,5.2,49.99441464,13.5,11.6,17,43.1,12.2,27.8,1.4,5.8,6.1737559,0.526172378,0.622324116,0.080805044,0.575970835,2.424986506
NE,2007,7.1,12.7,13,14.6,10.5,13.3,25.1076269,30.82831211,33.41015965,4.6,49.54121306,11.9,12.1,16.3,47,9.7,28.4,1.2,6.5,0.667654323,1.44998425,3.963380445,0.165955603,2.594711623,2.003639189
NV,2007,8,14.7,14.9,13.9,11.2,11.1,19.93448117,31.74620753,31.29396054,5.6,50.75088232,9.8,10.1,15.9,55.4,13.5,28.8,2.3,5,1.252717919,6.065490442,7.415581773,0.533682703,7.808895517,2.971370346
NH,2007,7.2,11.4,15.3,16.7,12.1,12.6,29.73466984,31.60789585,28.84752662,5.1,49.18393589,8.3,9.2,13.4,60.9,11.4,28.1,1.3,5.5,0.207245932,2.035980386,0.953468082,0.020443401,0.770769432,1.24111966
NJ,2007,9.2,12.2,15.6,15.4,11,13.1,31.4281873,31.33991393,24.12202788,5.9,48.95269586,8,8.1,11.6,62.8,8.2,31.8,2.2,6.8,0.207485217,7.46592186,13.65231317,0.019307109,7.515956859,1.629050233
