state,year,Heart attack,Age - 25 to 34 years,Age - 35 to 44 years,Age - 45 to 54 years,Age - 55 to 64 years,Age - 65 years or more,Education - Bachelor degree or higher,Education - High school graduate,Education - Some college or associate degree,Employment status - Unemployed,Gender - Male,Household income - 15000 to 24999,Household income - 25000 to 34999,Household income - 35000 to 49999,Household income - 50000 or more,Marital status - Divorced,Marital status - Never married,Marital status - Separated,Marital status - Widowed,Race - American Indian and Alaska native,Race - Asian,Race - Black or African American,Race - Native Hawaiian and other Pacific Islander,Race - Some other race,Race - Two or more races
alabama,2007,4.9,12.7,13.7,14.4,11.4,13.5,19.4941154104489,32.2044320323042,28.4664804845625,6.7,48.3657533485845,13.6,11.9,14.9,41.3,11.8,27.1,2.4,7.5,0.447075759353532,0.962887525981282,26.1918112748228,0.032801401773739,0.749570372944159,1.30012828848638
alaska,2007,2.3,13.9,14.2,16.1,10.7,6.9,22.7293580885383,32.0758093315736,34.6046186094009,8.8,52.2738113004369,7.9,8,12.6,62.6,11.5,32.5,2,3.3,13.4690509423859,4.81888224639271,3.77788312132944,0.728333611323261,2.27234819555275,6.86488811636951
arizona,2007,4.6,14.5,13.6,12.9,10.3,12.9,22.9143588535196,27.624822736815,32.1121331562487,5.8,50.0617550291816,11,11.8,15.5,49.8,12.4,30.6,1.9,5.9,4.43456167654374,2.38870251334844,3.54945095685194,0.121490734379227,10.6832966410596,2.43541515644634
arkansas,2007,5.1,12.9,13.4,14,11.3,14,17.7073758792109,35.7509059885952,27.7399061550036,7.2,48.935955555195,14.3,13,16.1,37.7,11.8,24.6,2.4,7.6,0.614682462271549,1.19701692925455,15.6017873590243,0.0802173841724822,2.25257752142393,1.70283798099123
california,2007,3.1,14.3,14.9,14,9.7,10.9,26.4771500891769,24.5266721541735,29.4363106934907,6.6,50.0140630584752,9.7,9.3,13,57.5,9.5,34.6,2.5,5.3,0.727845690180741,12.3420251816427,6.19196697198865,0.345646750908231,16.6795916583534,3.45355668441203
colorado,2007,3,14.9,14.9,15.2,10.7,10.1,31.7257818223044,25.8391168416646,30.8513260020232,5.5,50.4186040771241,9.6,9.8,14.6,54.7,12.3,29.4,1.7,4.6,0.949745089750829,2.70901149127381,3.89214061871659,0.0761902411079674,6.22865505917394,2.60941290935027
connecticut,2007,3.6,11.5,15.1,15.8,11.4,13.5,31.9616189119276,29.8015838202723,26.3161637396912,6,48.7150048724998,8.4,8,12.3,62.1,9.6,31.5,1.5,6.6,0.234445333064558,3.37537321806842,9.37669977149361,0.0255545698566289,5.40726132388661,2.02169483046756
delaware,2007,4.9,12.2,14.4,14.6,11.5,13.5,23.8121625106959,33.4680332619263,29.2925635532792,5.6,48.4130930519772,9.5,10.2,14.6,54.9,10.3,30.8,1.6,7,0.257064355130417,2.93397967537964,20.315600556915,0.0615196747320656,2.15353553108131,1.96331022105453
florida,2007,5,12.3,14.1,14.1,11.6,17,23.7242859839418,31.8421506619876,28.7861222948904,6.2,49.1196955736111,11.9,11.8,15.7,48.1,12.3,28.1,2.3,7.5,0.295749719621836,2.24173224804469,15.3434700310549,0.0549113285051325,4.05479232291192,1.7328901927392
georgia,2007,4.3,14,15.5,14.1,10.3,9.9,24.4528168948859,31.0374991076374,26.7781225460028,7,49.2234264910029,10.9,11,15.3,49.2,11.4,31.4,2.4,5.9,0.234160140391315,2.77836506980277,29.9137117263417,0.0505408732549307,3.76876293250216,1.24256790382147
hawaii,2007,3.6,13.7,14,14.3,11.7,14.4,26.579502176674,31.414524725272,31.4053284657631,4.5,50.2952341770377,7.4,8.2,12.8,62.3,9.3,31.3,1.6,6.6,0.261729110759957,38.8400078542109,2.16894656954873,8.46065258518858,1.32726813714948,22.3104002842476
idaho,2007,4.2,14,13,13.8,10.7,11.7,21.908219882098,30.6595265600022,35.0594019705291,5.1,50.1866744208691,11.9,13.2,17.1,46.2,11.4,23.9,1.2,5.2,1.29031440534293,1.12111361729543,0.600972921204587,0.143323805090296,2.20561263757151,2.1786685625336
illinois,2007,3.8,13.8,14.4,14.5,10.3,12,26.9504235792373,29.4499394886804,29.0246671877421,7.2,49.2703703576909,10.4,9.9,13.9,54,9.5,32.7,1.8,6.2,0.168877019560635,4.29358443166289,14.6591088397414,0.0472591115784979,8.81368425933908,1.54837780026186
indiana,2007,5.2,13.2,14.1,14.7,10.8,12.5,20.1894351708633,36.5404370979574,28.3881604646711,6.6,49.2542104859211,11.3,12.2,16.1,47.6,12.1,27.5,1.5,6.2,0.211337891780816,1.31120899300253,8.68699597449383,0.0152711720459068,2.40800694814688,1.68316998642615
iowa,2007,4.7,12.3,13.1,14.9,11.2,14.7,22.1842044524533,34.6318876646651,32.6115043163151,4.8,49.3352012200611,12.3,12,15.5,47.6,9.8,26.9,1.3,6.7,0.304914882530295,1.60134696676458,2.34326970091167,0.0466860126363474,1.75482514163934,1.37742143948874
